location_name,description
Celadon City,"Celadon City is located in central Kanto. It is the most populous city in Kanto and the eighth most populous in the Pokémon world, surpassing even Saffron City in the east. The city has two entrances, one from the east via Route 7, and one from the west via Route 16."
Celadon Condominiums,"The Celadon Condominiums (Japanese: タマムシマンション Tamamushi Condominiums) is a four-floored building found in Celadon City that serves as Game Freak"s headquarters in Kanto."
Celadon Department Store, "The Celadon Department Store (Japanese: タマムシデパート Tamamushi Department Store) is the largest shop in Kanto. The store is six stories tall, including the roof."
Celadon Game Corner, "The Celadon Game Corner (Japanese: タマムシゲームコーナー Tamamushi Game Corner) is a Game Corner located in the southeastern part of Celadon City in the Kanto region. In games in which it is run by Team Rocket, it is known as the Rocket Game Corner (Japanese: ロケットゲームコーナー Rocket Game Corner), and is the location of the Team Rocket Hideout."
Cerulean Cave, "A mysterious cave that is filled with terribly tough Pokémon. It is so dangerous, the Pokémon League is in charge of it. A cave that had collapsed once. It has been reconstructed"
Cerulean City,"A beautiful city with flowing water and blooming flowers. The town surrounded by waterways. The Water-type Gym is located here."
Cinnabar Island, "Cinnabar Island (referred to in Japanese as both グレン島 Guren Island and グレンタウン Guren Town) is a large island located off the southern coast of the Kanto region, south of Pallet Town. It is home to a large volcano. Blaine was once the resident Gym Leader specializing in Fire-type Pokémon, but as of Generation IV, Cinnabar Island no longer has a Gym. Cinnabar is a kind of red mineral, associated with hot springs and volcanoes. The island is connected to the mainland by two water routes: Route 20 in the east and Route 21 in the north, leading to Fuchsia City and Pallet Town, respectively."
Cinnabar Lab, "The Cinnabar Lab (Japanese: グレンラボラトリー Guren Laboratory), called the Pokémon Lab (Japanese: ポケモン研究所 Pokémon Laboratory) is a facility located on Cinnabar Island."
Diglett's Cave, "Diglett's Cave (Japanese: ディグダの穴 Digda's Hole) is a long tunnel dug by wild Diglett and Dugtrio in Kanto. The northern entrance is on Route 2, south of Pewter City, and the southern entrance is on Route 11, near the eastern edge of Vermilion City (although in Generation II, it is located within Vermilion City). The passage is famous for connecting these two routes."
Fighting Dojo, "The Fighting Dojo (Japanese: 格闘道場 Fighting Dojo) is a former Pokémon Gym located in Saffron City."
Fuchsia City, "Fuchsia City (Japanese: セキチクシティ Sekichiku City) is a city located in southwest Kanto. Its most distinguishing features are the Safari Zone in the Generation I and III games and the Poison-type Gym. Koga is the Fuchsia City Gym Leader until his daughter Janine takes over in the Generation II and IV games."
