name,description,type,power_pts,base_dmg
Absorb,Restores the user's HP by 1/2 of the damage inflicted on the target.,8,20,20
Absorb,Restores the user's HP by 1/2 of the damage inflicted on the target.,8,20,20
Acid,Has a ~10% chance to lower the target's Defense by 1 stage.,12,30,40
Acid Armor,Raises the user's Defense by 2 stages.,12,40,
Agility,Raises the user's Speed by 2 stages.,13,30,
Amnesia,Raises the user's Special by 2 stages.,13,20,
Aurora Beam,Has a ~10% chance to lower the target's Attack by 1 stage.,10,20,65
Barrage,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",11,20,15
Barrier,Raises the user's Defense by 2 stages.,13,30,
Bide,The user absorbs all damage for 2-3 turns and then inflicts twice the absorbed damage on its target. This move ignores the target's type but still cannot hit Ghost-type Pokemon.,11,10,-1
Bind,"The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.",11,20,15
Bite,Has a ~10% chance to make the target flinch.,11,25,60
Blizzard,Has a ~10% chance to freeze the target.,10,5,120
Body Slam,Has a ~30% chance to paralyze the target.,11,15,85
Bone Club,Has a ~10% chance to make the target flinch.,9,20,65
Bonemerang,"Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.",9,10,50
Bubble,Has a ~10% chance to lower the target's Speed by 1 stage.,15,30,20
Bubblebeam,Has a ~10% chance to lower the target's Speed by 1 stage.,15,20,65
Clamp,"The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.",15,10,35
Comet Punch,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",11,15,18
Confuse Ray,Confuses the target.,7,10,
Confusion,Has a ~10% chance to confuse the target.,13,25,50
